"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030900","BP","GO:0030900","forebrain development","42/269","425/28891",1.93630015279463e-30,6.47498771094525e-27,4.42291719112037e-27,"Tcf7l2/Mecom/Ntrk2/Zeb2/Nrg3/Cntnap2/Cdh2/Bcl11b/Nfix/Tmem108/Nrp1/Nr2f1/Hmga2/Mdk/Tubb2b/Rbpj/Dbi/Kirrel3/Rarb/Reln/Id4/Rac3/Plxna4/Robo2/Epha5/Phactr1/Plcb1/Fgf13/Drd2/Nfib/Nrg1/Cdon/Tuba1a/Dab1/Pou3f3/Zbtb18/Atp1a2/Neurod6/Igf2bp1/Nin/Tnr/Col3a1",42
"GO:0021537","BP","GO:0021537","telencephalon development","35/269","281/28891",6.3289336858604e-29,1.05819771227586e-25,7.22830847279845e-26,"Ntrk2/Zeb2/Nrg3/Cdh2/Bcl11b/Nfix/Tmem108/Nr2f1/Mdk/Tubb2b/Dbi/Kirrel3/Rarb/Reln/Id4/Plxna4/Robo2/Epha5/Phactr1/Plcb1/Fgf13/Drd2/Nfib/Nrg1/Cdon/Tuba1a/Dab1/Pou3f3/Zbtb18/Atp1a2/Neurod6/Igf2bp1/Nin/Tnr/Col3a1",35
"GO:0007416","BP","GO:0007416","synapse assembly","29/269","222/28891",1.03729936851542e-24,1.15624302943852e-21,7.89803378834547e-22,"Nlgn1/Adgrb3/Ntrk2/Nrg3/Cntnap2/Cdh2/Clstn2/Mdga2/Lingo2/Nrxn3/Pcdh17/Lrrtm4/Gria1/Negr1/Gpm6a/Nrxn1/Kirrel3/Il1rapl2/Reln/Cux2/Cntn5/Ephb1/Fgf13/Add2/Mef2c/Nrg1/Ptprd/Adgrl2/Lrfn5",29
"GO:0007611","BP","GO:0007611","learning or memory","32/269","331/28891",4.79412603000276e-23,4.00788936108231e-20,2.73769828555421e-20,"Adgrb3/Ntrk2/Cntnap2/Grm5/Clstn2/Atxn1/Nfix/Nrxn3/Dgki/Gria1/Mdk/Nrxn1/Dbi/Reln/Meis2/Cux2/Grm7/Rcan2/Plcb1/Fgf13/Neto1/Drd2/Mef2c/Nrg1/Tuba1a/Grin2b/Ptprz1/Tafa2/Neurod2/Atp1a2/Ccnd2/Tnr",32
"GO:0034329","BP","GO:0034329","cell junction assembly","36/269","481/28891",4.98377917255816e-22,3.3331515106069e-19,2.27680016935815e-19,"Nlgn1/Ptprk/Adgrb3/Ntrk2/Nrg3/Cntnap2/Cdh2/Clstn2/Epha3/Mdga2/Nrp1/Lingo2/Nrxn3/Pcdh17/Lrrtm4/Gria1/Negr1/Gpm6a/Cdh18/Nrxn1/Kirrel3/Il1rapl2/Reln/Cdh8/Cux2/Cntn5/Ephb1/Fgf13/Add2/Mef2c/Nrg1/Ptprd/Adgrl2/Gpm6b/Lrfn5/Cdh10",36
"GO:0001764","BP","GO:0001764","neuron migration","26/269","206/28891",7.22003815857739e-22,4.0239679337138e-19,2.74868119370402e-19,"Ntrk2/Nrg3/Dcc/Mdga2/Nrp1/Gpm6a/Nr2f1/Mdk/Tubb2b/Unc5c/Spock1/Satb2/Kirrel3/Reln/Phactr1/Fgf13/Drd2/Mef2c/Nrg1/Tuba1a/Unc5d/Ptprz1/Dab1/Shtn1/Ntng1/Col3a1",26
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","26/269","211/28891",1.34674589946869e-21,6.43359755403329e-19,4.39464451405573e-19,"Nlgn1/Dscaml1/Cdh2/Clstn2/Epha3/Mdga2/Pcdh17/Cdh18/Nrxn1/Kirrel3/Cdh8/Lrrc4c/Cntn5/Robo2/Cadm2/Cadm4/Nrg1/Ptprd/Tenm2/Unc5d/Dab1/Cd24a/Lrfn5/Ntng1/Tenm1/Cdh10",26
"GO:0050890","BP","GO:0050890","cognition","32/269","371/28891",1.58790128316793e-21,6.63742736364193e-19,4.53387603220316e-19,"Adgrb3/Ntrk2/Cntnap2/Grm5/Clstn2/Atxn1/Nfix/Nrxn3/Dgki/Gria1/Mdk/Nrxn1/Dbi/Reln/Meis2/Cux2/Grm7/Rcan2/Plcb1/Fgf13/Neto1/Drd2/Mef2c/Nrg1/Tuba1a/Grin2b/Ptprz1/Tafa2/Neurod2/Atp1a2/Ccnd2/Tnr",32
"GO:0021543","BP","GO:0021543","pallium development","23/269","182/28891",1.74600035470078e-19,6.48736131791046e-17,4.43136932128736e-17,"Ntrk2/Zeb2/Cdh2/Nfix/Tmem108/Nr2f1/Mdk/Tubb2b/Kirrel3/Reln/Id4/Epha5/Phactr1/Plcb1/Fgf13/Cdon/Tuba1a/Dab1/Pou3f3/Zbtb18/Neurod6/Igf2bp1/Col3a1",23
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","28/269","317/28891",3.14633669360484e-19,1.05213499034146e-16,7.18689539486579e-17,"Nlgn1/Adgrb3/Ntrk2/Cdh2/Clstn2/Sparc/Mdga2/Lingo2/Lrrtm4/Negr1/Gpm6a/Nrxn1/Il1rapl2/Reln/Cdh8/Cux2/Ephb1/Drd2/Mef2c/Nrg1/Ptprd/Adgrl2/Tuba1a/Grin2b/Lrfn5/Neurod2/Sybu/Cttnbp2",28
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development","30/269","391/28891",8.42327978455011e-19,2.56067705450323e-16,1.74914039545203e-16,"Nlgn1/Adgrb3/Ntrk2/Zeb2/Grm5/Clstn2/Sox11/Atxn1/Nrp1/Lingo2/Lrrtm4/Mdk/Nrxn1/Tiam2/Reln/Cux2/Id4/Plxna4/Robo2/Ephb1/Islr2/Drd2/Nrg1/Ptprd/Plxna2/Adgrl2/Cdon/Ptprz1/Shtn1/Nin",30
"GO:0007411","BP","GO:0007411","axon guidance","25/269","252/28891",1.70921461260765e-18,4.39662589581536e-16,3.00323539219319e-16,"Dscaml1/Bcl11b/Lmo4/Slit3/Dcc/Epha3/Nrp1/Tubb2b/Unc5c/Foxp1/Reln/Rac3/Plxna4/Cntn5/Robo2/Epha5/Ephb1/Mef2c/Nfib/Plxna2/Sema3c/Tenm2/Unc5d/Cntn2/Ablim1",25
"GO:0097485","BP","GO:0097485","neuron projection guidance","25/269","252/28891",1.70921461260765e-18,4.39662589581536e-16,3.00323539219319e-16,"Dscaml1/Bcl11b/Lmo4/Slit3/Dcc/Epha3/Nrp1/Tubb2b/Unc5c/Foxp1/Reln/Rac3/Plxna4/Cntn5/Robo2/Epha5/Ephb1/Mef2c/Nfib/Plxna2/Sema3c/Tenm2/Unc5d/Cntn2/Ablim1",25
