"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04517",NA,NA,"mmu04517","IgSF CAM signaling - Mus musculus (house mouse)","25/138","300/10649",7.43552213662296e-14,1.44992681664148e-11,1.09576115697602e-11,"Nlgn1/Cntnap2/Cdh2/Slit3/Dcc/Nrp1/Lrrtm4/Tubb2b/Unc5c/Kirrel3/Il1rapl2/Lrrc4c/Ncam2/Plxna4/Robo2/Cadm2/Kcnq3/Cadm4/Ptprd/Plxna2/Tuba1a/Unc5d/Ptprz1/Lrfn5/Cntn2",25
"mmu04360","Organismal Systems","Development and regeneration","mmu04360","Axon guidance - Mus musculus (house mouse)","16/138","181/10649",1.37395811323013e-09,1.33960916039937e-07,1.01239018869588e-07,"Slit3/Dcc/Epha3/Nrp1/Unc5c/Lrrc4c/Rac3/Plxna4/Robo2/Epha5/Ephb1/Plxna2/Sema3c/Unc5d/Ntng1/Ablim1",16
"mmu04724","Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse - Mus musculus (house mouse)","13/138","117/10649",3.22649146484586e-09,2.09721945214981e-07,1.58494317571376e-07,"Grm5/Gria1/Grik2/Itpr1/Grm7/Plcb1/Dlgap1/Gng7/Gria2/Grin2b/Gnb2/Slc1a3/Gria3",13
"mmu04082",NA,NA,"mmu04082","Neuroactive ligand signaling - Mus musculus (house mouse)","14/138","196/10649",2.29432496309443e-07,1.03634029472471e-05,7.83199143111795e-06,"Grm5/Gria1/Grik2/Gabrg3/Grm7/Plcb1/Gng7/Gnal/Drd2/Gria2/Grin2b/Gnb2/Slc1a3/Gria3",14
"mmu05017","Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia - Mus musculus (house mouse)","12/138","141/10649",2.65728280698645e-07,1.03634029472471e-05,7.83199143111795e-06,"Atxn1/Gria1/Rbpj/Itpr1/Reln/Plcb1/Gria2/Grin2b/Fgf14/Dab1/Rora/Gria3",12
"mmu04728","Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse - Mus musculus (house mouse)","11/138","137/10649",1.52891071906304e-06,4.96895983695488e-05,3.7552193099794e-05,"Gria1/Itpr1/Plcb1/Gng7/Gnal/Drd2/Gria2/Grin2b/Gnb2/Creb5/Gria3",11
"mmu04713","Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment - Mus musculus (house mouse)","9/138","100/10649",5.56172471656874e-06,0.000154933759961558,0.000117088941401447,"Gria1/Itpr1/Plcb1/Gng7/Gucy1b1/Gria2/Grin2b/Gnb2/Gria3",9
"mmu04514","Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse)","11/138","181/10649",2.23404900301836e-05,0.000544549444485724,0.000411535342661276,"Nlgn1/Cntnap2/Cdh2/Nrxn3/Negr1/Nrxn1/Lrrc4c/Ncam2/Ptprd/Ntng1/Cntn2",11
"mmu04730","Organismal Systems","Nervous system","mmu04730","Long-term depression - Mus musculus (house mouse)","6/138","60/10649",0.000119695103846699,0.00235434202158622,0.0017792598273796,"Gria1/Itpr1/Plcb1/Gucy1b1/Gria2/Gria3",6
"mmu04540","Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction - Mus musculus (house mouse)","7/138","86/10649",0.000120735488286473,0.00235434202158622,0.0017792598273796,"Grm5/Tubb2b/Itpr1/Plcb1/Drd2/Gucy1b1/Tuba1a",7
